name	source
rose	xkcd
rose pink	xkcd
rose red	xkcd
rosy brown	css
rosy pink	xkcd
rouge	xkcd
royal	xkcd
royal blue	xkcd+css
royal purple	xkcd
ruby	xkcd
russet	xkcd
rust	xkcd
rust brown	xkcd
rust orange	xkcd
rust red	xkcd
rusty orange	xkcd
rusty red	xkcd
saddle brown	css
saffron	xkcd
sage	xkcd
sage green	xkcd
salmon	xkcd+css
salmon pink	xkcd
sand	xkcd
sand brown	xkcd
sand yellow	xkcd
sandstone	xkcd
sandy	xkcd
sandy brown	xkcd+css
sandy yellow	xkcd
sap green	xkcd
sapphire	xkcd
scarlet	xkcd
sea	xkcd
sea blue	xkcd
sea green	xkcd+css
seafoam	xkcd
seafoam blue	xkcd
seafoam green	xkcd
seashell	css
seaweed	xkcd
seaweed green	xkcd
sepia	xkcd
shamrock	xkcd
shamrock green	xkcd
shocking pink	xkcd
sick green	xkcd
sickly green	xkcd
sickly yellow	xkcd
sienna	xkcd+css
silver	xkcd+css
sky	xkcd
sky blue	xkcd+css
slate	xkcd
slate blue	xkcd+css
slate gray	css
slate green	xkcd
slate grey	xkcd+css
slime green	xkcd
snow	css
soft blue	xkcd
soft green	xkcd
soft pink	xkcd
soft purple	xkcd
spearmint	xkcd
spring green	xkcd+css
spruce	xkcd
squash	xkcd
steel	xkcd
steel blue	xkcd+css
steel grey	xkcd
stone	xkcd
stormy blue	xkcd
straw	xkcd
strawberry	xkcd
strong blue	xkcd
strong pink	xkcd
sun yellow	xkcd
sunflower	xkcd
sunflower yellow	xkcd
sunny yellow	xkcd
sunshine yellow	xkcd
swamp	xkcd
swamp green	xkcd
tan	xkcd+css
tan brown	xkcd
tan green	xkcd
tangerine	xkcd
taupe	xkcd
tea	xkcd
tea green	xkcd
teal	xkcd+css
teal blue	xkcd
teal green	xkcd
tealish	xkcd
tealish green	xkcd
terra cotta	xkcd
terracota	xkcd
terracotta	xkcd
thistle	css
tiffany blue	xkcd
tomato	xkcd+css
tomato red	xkcd
topaz	xkcd
toupe	xkcd
toxic green	xkcd
tree green	xkcd
true blue	xkcd
true green	xkcd
turquoise	xkcd+css
turquoise blue	xkcd
turquoise green	xkcd
turtle green	xkcd
twilight	xkcd
twilight blue	xkcd
ultramarine	xkcd
ultramarine blue	xkcd
umber	xkcd
velvet	xkcd
vermillion	xkcd
very dark blue	xkcd
very dark brown	xkcd
very dark green	xkcd
very dark purple	xkcd
very light blue	xkcd
very light brown	xkcd
very light green	xkcd
very light pink	xkcd
very light purple	xkcd
very pale blue	xkcd
very pale green	xkcd
vibrant blue	xkcd
vibrant green	xkcd
vibrant purple	xkcd
violet	xkcd+css
violet blue	xkcd
violet pink	xkcd
violet red	xkcd
viridian	xkcd
vivid blue	xkcd
vivid green	xkcd
vivid purple	xkcd
warm blue	xkcd
warm brown	xkcd
warm grey	xkcd
warm pink	xkcd
warm purple	xkcd
washed out green	xkcd
water blue	xkcd
watermelon	xkcd
weird green	xkcd
wheat	xkcd+css
white	xkcd+css
white smoke	css
windows blue	xkcd
wine	xkcd
wine red	xkcd
wintergreen	xkcd
wisteria	xkcd
yellow	xkcd+css
yellow brown	xkcd
yellow green	xkcd+css
yellow ochre	xkcd
yellow orange	xkcd
yellow tan	xkcd
yellowgreen	xkcd
yellowish	xkcd
yellowish brown	xkcd
yellowish green	xkcd
yellowish orange	xkcd
yellowish tan	xkcd
yellowy brown	xkcd
yellowy green	xkcd
